Indicador,Any,Resposta,Edat,Sexe,Classe social,Estudis,Territoris,percentatge,poblacio_absoluta,mostra,valor_absolut
Malestar emocional,2023,No,65 - 74,Dona,Classe II,Estudis primaris i sense estudis,Àrea Metropolitana Nord,84.0,451382,2060,379161
Malestar emocional,2025,Sí,15 - 44,Home,Classe I,Estudis universitaris,Cat. Central,32.8,632096,978,207327
Malestar emocional,2025,No,15 - 44,Home,Classe I,Estudis universitaris,Cat. Central,67.2,197011,656,132391
Malestar emocional,2027,Sí,65 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,21.3,138889,584,29583
Malestar emocional,2027,No,65 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,78.7,1409423,1095,1109216
Malestar emocional,2025,Sí,0 - 14,Dona,Classe III,Estudis universitaris,Cat. Central,23.2,347645,1602,80654
Malestar emocional,2025,No,0 - 14,Dona,Classe III,Estudis universitaris,Cat. Central,76.8,321303,1385,246761
Malestar emocional,2024,Sí,15 - 44,Dona,Classe I,Estudis secundaris,Camp de Tarragona,34.1,545102,1979,185880
Malestar emocional,2024,No,15 - 44,Dona,Classe I,Estudis secundaris,Camp de Tarragona,65.9,682871,2695,450012
Malestar emocional,2024,Sí,65 - 74,Home,Classe I,Estudis primaris i sense estudis,Àrea Metropolitana Nord,31.3,734457,1190,229885
Malestar emocional,2024,No,65 - 74,Home,Classe I,Estudis primaris i sense estudis,Àrea Metropolitana Nord,68.7,1296695,5995,890829
Malestar emocional,2024,Sí,45 - 64,Dona,Classe I,Estudis universitaris,Girona,27.1,347570,1604,94191
Malestar emocional,2024,No,45 - 64,Dona,Classe I,Estudis universitaris,Girona,72.9,1464339,6553,1067503
Malestar emocional,2025,Sí,15 i més,Dona,Classe II,Estudis primaris i sense estudis,Lleida,18.9,1428604,4700,270006
Malestar emocional,2025,No,15 i més,Dona,Classe II,Estudis primaris i sense estudis,Lleida,81.1,1225776,4206,994104
Malestar emocional,2026,Sí,15 - 44,Dona,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,24.9,174252,639,43389
Malestar emocional,2026,No,15 - 44,Dona,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,75.1,307650,214,231045
Malestar emocional,2025,Sí,45 - 64,Dona,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,29.9,1261857,2211,377295
Malestar emocional,2025,No,45 - 64,Dona,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,70.1,179124,252,125566
Malestar emocional,2025,Sí,75 i més,Home,Classe II,Estudis secundaris,Àrea Metropolitana Nord,23.2,422844,1933,98100
Malestar emocional,2025,No,75 i més,Home,Classe II,Estudis secundaris,Àrea Metropolitana Nord,76.8,265762,678,204105
Malestar emocional,2025,Sí,45 - 64,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Nord,17.5,816658,3597,142915
Malestar emocional,2025,No,45 - 64,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Nord,82.5,1153224,4325,951410
Malestar emocional,2023,Sí,75 i més,Dona,Classe II,Estudis primaris i sense estudis,Lleida,23.1,1392338,3728,321630
Malestar emocional,2023,No,75 i més,Dona,Classe II,Estudis primaris i sense estudis,Lleida,76.9,1366891,4091,1051139
Malestar emocional,2025,Sí,75 i més,Home,Classe II,Estudis universitaris,Àrea Metropolitana Sud,32.4,1271603,2916,411999
Malestar emocional,2025,No,75 i més,Home,Classe II,Estudis universitaris,Àrea Metropolitana Sud,67.6,866548,4301,585786
Malestar emocional,2024,Sí,15 - 44,Home,Classe III,Estudis universitaris,Barcelona Ciutat,15.8,210444,620,33250
Malestar emocional,2024,No,15 - 44,Home,Classe III,Estudis universitaris,Barcelona Ciutat,84.2,1204028,5970,1013792
Malestar emocional,2024,Sí,15 i més,Home,Classe II,Estudis primaris i sense estudis,Cat. Central,20.5,204711,192,41966
Malestar emocional,2024,No,15 i més,Home,Classe II,Estudis primaris i sense estudis,Cat. Central,79.5,301626,788,239793
Malestar emocional,2023,Sí,15 - 44,Home,Classe II,Estudis primaris i sense estudis,Alt Pirineu i Aran,31.4,1342010,1358,421391
Malestar emocional,2023,No,15 - 44,Home,Classe II,Estudis primaris i sense estudis,Alt Pirineu i Aran,68.6,607720,1046,416896
Malestar emocional,2025,Sí,15 i més,Dona,Classe I,Estudis secundaris,Àrea Metropolitana Nord,23.1,1069701,3281,247101
Malestar emocional,2025,No,15 i més,Dona,Classe I,Estudis secundaris,Àrea Metropolitana Nord,76.9,1362295,1780,1047605
Malestar emocional,2025,Sí,65 - 74,Home,Classe II,Estudis primaris i sense estudis,Girona,31.5,1264913,2856,398448
Malestar emocional,2025,No,65 - 74,Home,Classe II,Estudis primaris i sense estudis,Girona,68.5,1059273,2618,725602
Malestar emocional,2027,Sí,15 - 44,Home,Classe III,Estudis secundaris,Àrea Metropolitana Sud,22.1,1498714,2123,331216
Malestar emocional,2027,No,15 - 44,Home,Classe III,Estudis secundaris,Àrea Metropolitana Sud,77.9,556646,2632,433627
Malestar emocional,2023,Sí,65 i més,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Nord,32.8,577430,1909,189397
Malestar emocional,2023,No,65 i més,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Nord,67.2,500164,1094,336110
Malestar emocional,2024,Sí,0 - 14,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,30.8,1369514,4434,421810
Malestar emocional,2024,No,0 - 14,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,69.2,126255,253,87368
Malestar emocional,2024,Sí,15 - 44,Dona,Classe II,Estudis universitaris,Alt Pirineu i Aran,27.9,1359823,795,379391
Malestar emocional,2024,No,15 - 44,Dona,Classe II,Estudis universitaris,Alt Pirineu i Aran,72.1,617950,1179,445542
Malestar emocional,2024,Sí,0 - 14,Home,Classe III,Estudis primaris i sense estudis,Camp de Tarragona,24.5,974150,1208,238667
Malestar emocional,2024,No,0 - 14,Home,Classe III,Estudis primaris i sense estudis,Camp de Tarragona,75.5,1291660,4130,975203
Malestar emocional,2023,Sí,65 - 74,Home,Classe II,Estudis secundaris,Girona,20.4,370813,925,75646
Malestar emocional,2023,No,65 - 74,Home,Classe II,Estudis secundaris,Girona,79.6,521526,2603,415135
Malestar emocional,2025,Sí,15 - 44,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Nord,28.8,205240,186,59109
Malestar emocional,2025,No,15 - 44,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Nord,71.2,1337811,796,952521
Malestar emocional,2024,Sí,15 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,27.6,1384319,4401,382072
Malestar emocional,2024,No,15 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,72.4,1433897,1447,1038141
Malestar emocional,2025,Sí,75 i més,Home,Classe I,Estudis secundaris,Lleida,26.1,888646,4298,231937
Malestar emocional,2025,No,75 i més,Home,Classe I,Estudis secundaris,Lleida,73.9,1492731,5789,1103128
Malestar emocional,2027,Sí,15 - 44,Home,Classe III,Estudis primaris i sense estudis,Lleida,22.8,963534,2257,219686
Malestar emocional,2027,No,15 - 44,Home,Classe III,Estudis primaris i sense estudis,Lleida,77.2,506141,1552,390741
Malestar emocional,2025,Sí,65 i més,Home,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,30.6,912011,4053,279075
Malestar emocional,2025,No,65 i més,Home,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,69.4,1040815,2174,722326
Malestar emocional,2025,Sí,15 - 44,Home,Classe I,Estudis universitaris,Alt Pirineu i Aran,16.9,1342422,5577,226869
Malestar emocional,2025,No,15 - 44,Home,Classe I,Estudis universitaris,Alt Pirineu i Aran,83.1,637811,648,530021
Malestar emocional,2026,Sí,65 i més,Home,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,29.7,1179888,4640,350427
Malestar emocional,2026,No,65 i més,Home,Classe I,Estudis primaris i sense estudis,Terres de l’Ebre,70.3,704321,944,495138
Malestar emocional,2027,Sí,15 i més,Home,Classe I,Estudis primaris i sense estudis,Àrea Metropolitana Sud,23.0,730634,3189,168046
Malestar emocional,2027,No,15 i més,Home,Classe I,Estudis primaris i sense estudis,Àrea Metropolitana Sud,77.0,370273,722,285110
Malestar emocional,2025,Sí,65 - 74,Dona,Classe I,Estudis secundaris,Barcelona Ciutat,34.8,597747,1715,208016
Malestar emocional,2025,No,65 - 74,Dona,Classe I,Estudis secundaris,Barcelona Ciutat,65.2,148992,233,97143
Malestar emocional,2023,Sí,15 - 44,Home,Classe III,Estudis secundaris,Girona,31.1,1309058,2310,407117
Malestar emocional,2023,No,15 - 44,Home,Classe III,Estudis secundaris,Girona,68.9,693809,2776,478034
Malestar emocional,2024,Sí,0 - 14,Home,Classe III,Estudis secundaris,Barcelona Ciutat,20.6,875213,952,180294
Malestar emocional,2024,No,0 - 14,Home,Classe III,Estudis secundaris,Barcelona Ciutat,79.4,1364358,3797,1083300
Malestar emocional,2027,Sí,65 - 74,Home,Classe I,Estudis universitaris,Barcelona Ciutat,16.9,671393,1938,113465
Malestar emocional,2027,No,65 - 74,Home,Classe I,Estudis universitaris,Barcelona Ciutat,83.1,176941,305,147038
Malestar emocional,2023,Sí,75 i més,Home,Classe III,Estudis primaris i sense estudis,Alt Pirineu i Aran,15.2,289425,1295,43993
Malestar emocional,2023,No,75 i més,Home,Classe III,Estudis primaris i sense estudis,Alt Pirineu i Aran,84.8,1282195,2688,1087301
Malestar emocional,2023,Sí,15 i més,Dona,Classe II,Estudis secundaris,Girona,20.4,1199009,1898,244598
Malestar emocional,2023,No,15 i més,Dona,Classe II,Estudis secundaris,Girona,79.6,429528,1593,341904
Malestar emocional,2024,Sí,65 i més,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Sud,34.5,712764,3229,245904
Malestar emocional,2024,No,65 i més,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Sud,65.5,143580,366,94045
Malestar emocional,2027,Sí,65 i més,Home,Classe II,Estudis primaris i sense estudis,Camp de Tarragona,34.5,802130,2527,276735
Malestar emocional,2027,No,65 i més,Home,Classe II,Estudis primaris i sense estudis,Camp de Tarragona,65.5,842811,2612,552041
Malestar emocional,2024,Sí,65 - 74,Home,Classe III,Estudis primaris i sense estudis,Terres de l’Ebre,25.1,1298118,3099,325828
Malestar emocional,2024,No,65 - 74,Home,Classe III,Estudis primaris i sense estudis,Terres de l’Ebre,74.9,1318956,4499,987898
Malestar emocional,2023,Sí,15 i més,Dona,Classe III,Estudis primaris i sense estudis,Girona,16.2,430784,2116,69787
Malestar emocional,2023,No,15 i més,Dona,Classe III,Estudis primaris i sense estudis,Girona,83.8,912731,2534,764869
Malestar emocional,2024,Sí,15 - 44,Home,Classe III,Estudis universitaris,Lleida,20.4,770954,2530,157275
Malestar emocional,2024,No,15 - 44,Home,Classe III,Estudis universitaris,Lleida,79.6,432060,1708,343920
Malestar emocional,2026,Sí,15 i més,Home,Classe II,Estudis secundaris,Terres de l’Ebre,29.2,1282752,4569,374564
Malestar emocional,2026,No,15 i més,Home,Classe II,Estudis secundaris,Terres de l’Ebre,70.8,124209,618,87940
Malestar emocional,2027,Sí,75 i més,Home,Classe II,Estudis universitaris,Barcelona Ciutat,15.9,607707,1203,96625
Malestar emocional,2027,No,75 i més,Home,Classe II,Estudis universitaris,Barcelona Ciutat,84.1,1456842,1885,1225204
Malestar emocional,2026,Sí,65 i més,Home,Classe III,Estudis secundaris,Àrea Metropolitana Sud,25.7,133765,272,34378
Malestar emocional,2026,No,65 i més,Home,Classe III,Estudis secundaris,Àrea Metropolitana Sud,74.3,184290,239,136927
Malestar emocional,2026,Sí,65 - 74,Home,Classe I,Estudis secundaris,Terres de l’Ebre,34.8,746124,3717,259651
Malestar emocional,2026,No,65 - 74,Home,Classe I,Estudis secundaris,Terres de l’Ebre,65.2,532487,1579,347182
Malestar emocional,2026,Sí,65 - 74,Home,Classe II,Estudis primaris i sense estudis,Alt Pirineu i Aran,18.6,1281745,2904,238405
Malestar emocional,2026,No,65 - 74,Home,Classe II,Estudis primaris i sense estudis,Alt Pirineu i Aran,81.4,945183,1115,769379
Malestar emocional,2024,Sí,45 - 64,Dona,Classe III,Estudis universitaris,Terres de l’Ebre,18.3,1377075,5384,252005
Malestar emocional,2024,No,45 - 64,Dona,Classe III,Estudis universitaris,Terres de l’Ebre,81.7,885929,748,723804
Malestar emocional,2023,Sí,75 i més,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,26.4,104270,210,27527
Malestar emocional,2023,No,75 i més,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,73.6,297267,1444,218789
Malestar emocional,2026,Sí,65 - 74,Home,Classe I,Estudis universitaris,Àrea Metropolitana Nord,34.3,850536,1721,291734
Malestar emocional,2026,No,65 - 74,Home,Classe I,Estudis universitaris,Àrea Metropolitana Nord,65.7,794999,474,522314
Malestar emocional,2023,Sí,65 - 74,Dona,Classe II,Estudis primaris i sense estudis,Cat. Central,16.8,702191,906,117968
Malestar emocional,2023,No,65 - 74,Dona,Classe II,Estudis primaris i sense estudis,Cat. Central,83.2,479183,743,398680
Malestar emocional,2027,Sí,45 - 64,Dona,Classe I,Estudis secundaris,Cat. Central,24.0,862082,3613,206900
Malestar emocional,2027,No,45 - 64,Dona,Classe I,Estudis secundaris,Cat. Central,76.0,955066,1483,725850
Malestar emocional,2026,Sí,65 i més,Home,Classe II,Estudis universitaris,Àrea Metropolitana Nord,26.4,1287438,2502,339884
Malestar emocional,2026,No,65 i més,Home,Classe II,Estudis universitaris,Àrea Metropolitana Nord,73.6,530824,310,390686
Malestar emocional,2024,Sí,75 i més,Home,Classe III,Estudis primaris i sense estudis,Girona,26.3,130582,628,34343
Malestar emocional,2024,No,75 i més,Home,Classe III,Estudis primaris i sense estudis,Girona,73.7,1344980,6067,991250
Malestar emocional,2024,Sí,0 - 14,Home,Classe II,Estudis secundaris,Camp de Tarragona,16.3,1117432,5024,182141
Malestar emocional,2024,No,0 - 14,Home,Classe II,Estudis secundaris,Camp de Tarragona,83.7,874760,2807,732174
Malestar emocional,2026,Sí,15 i més,Dona,Classe II,Estudis universitaris,Alt Pirineu i Aran,27.3,1284290,1055,350611
Malestar emocional,2026,No,15 i més,Dona,Classe II,Estudis universitaris,Alt Pirineu i Aran,72.7,570649,2696,414862
Malestar emocional,2027,Sí,65 - 74,Home,Classe III,Estudis primaris i sense estudis,Barcelona Ciutat,34.6,923089,681,319389
Malestar emocional,2027,No,65 - 74,Home,Classe III,Estudis primaris i sense estudis,Barcelona Ciutat,65.4,1121399,1435,733395
Malestar emocional,2023,Sí,15 - 44,Dona,Classe II,Estudis universitaris,Camp de Tarragona,27.1,525548,1058,142424
Malestar emocional,2023,No,15 - 44,Dona,Classe II,Estudis universitaris,Camp de Tarragona,72.9,419591,1353,305882
Malestar emocional,2026,Sí,75 i més,Dona,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,20.1,1162640,5339,233691
Malestar emocional,2026,No,75 i més,Dona,Classe I,Estudis primaris i sense estudis,Barcelona Ciutat,79.9,695400,1390,555625
Malestar emocional,2026,Sí,65 i més,Dona,Classe I,Estudis secundaris,Camp de Tarragona,16.2,729331,2922,118152
Malestar emocional,2026,No,65 i més,Dona,Classe I,Estudis secundaris,Camp de Tarragona,83.8,872264,725,730957
Malestar emocional,2025,Sí,75 i més,Dona,Classe II,Estudis universitaris,Terres de l’Ebre,33.1,920497,884,304685
Malestar emocional,2025,No,75 i més,Dona,Classe II,Estudis universitaris,Terres de l’Ebre,66.9,644652,1361,431272
Malestar emocional,2026,Sí,75 i més,Home,Classe I,Estudis primaris i sense estudis,Àrea Metropolitana Nord,33.0,408845,688,134919
Malestar emocional,2026,No,75 i més,Home,Classe I,Estudis primaris i sense estudis,Àrea Metropolitana Nord,67.0,1226841,2621,821983
Malestar emocional,2026,Sí,65 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,20.2,873738,3634,176495
Malestar emocional,2026,No,65 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,79.8,616662,2415,492096
Malestar emocional,2025,Sí,0 - 14,Dona,Classe II,Estudis universitaris,Camp de Tarragona,27.2,1111411,4671,302304
Malestar emocional,2025,No,0 - 14,Dona,Classe II,Estudis universitaris,Camp de Tarragona,72.8,1462359,3226,1064597
Malestar emocional,2024,Sí,45 - 64,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Sud,18.8,1438509,6094,270440
Malestar emocional,2024,No,45 - 64,Dona,Classe II,Estudis secundaris,Àrea Metropolitana Sud,81.2,1336080,4776,1084897
Malestar emocional,2023,Sí,65 - 74,Dona,Classe II,Estudis secundaris,Cat. Central,32.1,1137967,4871,365287
Malestar emocional,2023,No,65 - 74,Dona,Classe II,Estudis secundaris,Cat. Central,67.9,1121480,993,761485
Malestar emocional,2026,Sí,75 i més,Dona,Classe I,Estudis secundaris,Àrea Metropolitana Nord,28.4,821958,1830,233436
Malestar emocional,2026,No,75 i més,Dona,Classe I,Estudis secundaris,Àrea Metropolitana Nord,71.6,1188357,1008,850864
Malestar emocional,2024,Sí,0 - 14,Home,Classe I,Estudis primaris i sense estudis,Lleida,26.9,635274,619,170889
Malestar emocional,2024,No,0 - 14,Home,Classe I,Estudis primaris i sense estudis,Lleida,73.1,1340193,5134,979681
Malestar emocional,2023,Sí,45 - 64,Home,Classe I,Estudis secundaris,Àrea Metropolitana Nord,31.0,143643,641,44529
Malestar emocional,2023,No,45 - 64,Home,Classe I,Estudis secundaris,Àrea Metropolitana Nord,69.0,254110,1066,175336
Malestar emocional,2025,Sí,75 i més,Home,Classe III,Estudis primaris i sense estudis,Lleida,21.4,1334719,3342,285630
Malestar emocional,2025,No,75 i més,Home,Classe III,Estudis primaris i sense estudis,Lleida,78.6,239039,643,187885
Malestar emocional,2023,Sí,0 - 14,Dona,Classe I,Estudis secundaris,Cat. Central,26.8,892650,4151,239230
Malestar emocional,2023,No,0 - 14,Dona,Classe I,Estudis secundaris,Cat. Central,73.2,366741,801,268454
Malestar emocional,2023,Sí,0 - 14,Home,Classe I,Estudis primaris i sense estudis,Girona,19.1,500732,1084,95640
Malestar emocional,2023,No,0 - 14,Home,Classe I,Estudis primaris i sense estudis,Girona,80.9,1463715,1568,1184145
Malestar emocional,2025,Sí,15 - 44,Dona,Classe III,Estudis secundaris,Àrea Metropolitana Sud,28.7,707498,3029,203052
Malestar emocional,2025,No,15 - 44,Dona,Classe III,Estudis secundaris,Àrea Metropolitana Sud,71.3,606735,2711,432602
Malestar emocional,2026,Sí,15 i més,Home,Classe I,Estudis universitaris,Camp de Tarragona,21.4,761566,467,162975
Malestar emocional,2026,No,15 i més,Home,Classe I,Estudis universitaris,Camp de Tarragona,78.6,350069,1159,275154
Malestar emocional,2025,Sí,0 - 14,Dona,Classe II,Estudis secundaris,Lleida,29.9,1259752,5510,376666
Malestar emocional,2025,No,0 - 14,Dona,Classe II,Estudis secundaris,Lleida,70.1,995465,1441,697821
Malestar emocional,2025,Sí,65 - 74,Home,Classe I,Estudis primaris i sense estudis,Alt Pirineu i Aran,29.8,919287,3146,273948
Malestar emocional,2025,No,65 - 74,Home,Classe I,Estudis primaris i sense estudis,Alt Pirineu i Aran,70.2,537507,2613,377330
Malestar emocional,2025,Sí,0 - 14,Home,Classe II,Estudis universitaris,Terres de l’Ebre,22.2,1389899,3649,308558
Malestar emocional,2025,No,0 - 14,Home,Classe II,Estudis universitaris,Terres de l’Ebre,77.8,785212,1964,610895
Malestar emocional,2025,Sí,65 i més,Home,Classe II,Estudis primaris i sense estudis,Àrea Metropolitana Nord,30.8,1335795,3498,411425
Malestar emocional,2025,No,65 i més,Home,Classe II,Estudis primaris i sense estudis,Àrea Metropolitana Nord,69.2,291097,879,201439
Malestar emocional,2023,Sí,75 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,17.1,907078,1710,155110
Malestar emocional,2023,No,75 i més,Home,Classe I,Estudis primaris i sense estudis,Camp de Tarragona,82.9,349258,737,289535
Malestar emocional,2023,Sí,0 - 14,Home,Classe I,Estudis universitaris,Àrea Metropolitana Sud,29.0,866013,2543,251144
Malestar emocional,2023,No,0 - 14,Home,Classe I,Estudis universitaris,Àrea Metropolitana Sud,71.0,1434318,2291,1018366
Malestar emocional,2025,Sí,75 i més,Home,Classe III,Estudis universitaris,Camp de Tarragona,26.6,1152444,2409,306550
Malestar emocional,2025,No,75 i més,Home,Classe III,Estudis universitaris,Camp de Tarragona,73.4,589813,2536,432923
Malestar emocional,2025,Sí,0 - 14,Home,Classe I,Estudis primaris i sense estudis,Alt Pirineu i Aran,21.1,1015098,3554,214186
Malestar emocional,2025,No,0 - 14,Home,Classe I,Estudis primaris i sense estudis,Alt Pirineu i Aran,78.9,492852,698,388860
Malestar emocional,2025,Sí,65 - 74,Dona,Classe II,Estudis primaris i sense estudis,Alt Pirineu i Aran,22.4,1461958,4558,327479
Malestar emocional,2025,No,65 - 74,Dona,Classe II,Estudis primaris i sense estudis,Alt Pirineu i Aran,77.6,1311221,3966,1017507
Malestar emocional,2026,Sí,65 - 74,Dona,Classe II,Estudis universitaris,Barcelona Ciutat,16.7,615789,2081,102837
Malestar emocional,2026,No,65 - 74,Dona,Classe II,Estudis universitaris,Barcelona Ciutat,83.3,1159428,5251,965804
Malestar emocional,2024,Sí,75 i més,Home,Classe I,Estudis primaris i sense estudis,Cat. Central,17.4,1172290,4590,203978
Malestar emocional,2024,No,75 i més,Home,Classe I,Estudis primaris i sense estudis,Cat. Central,82.6,492557,395,406852
Malestar emocional,2026,Sí,75 i més,Dona,Classe III,Estudis secundaris,Àrea Metropolitana Nord,34.0,145830,187,49582
Malestar emocional,2026,No,75 i més,Dona,Classe III,Estudis secundaris,Àrea Metropolitana Nord,66.0,546258,986,360530
Malestar emocional,2025,Sí,65 - 74,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,34.7,1165056,4355,404274
Malestar emocional,2025,No,65 - 74,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,65.3,1273405,1739,831533
Malestar emocional,2026,Sí,15 - 44,Dona,Classe I,Estudis universitaris,Àrea Metropolitana Nord,16.4,266867,1068,43766
Malestar emocional,2026,No,15 - 44,Dona,Classe I,Estudis universitaris,Àrea Metropolitana Nord,83.6,729355,1541,609741
Malestar emocional,2023,Sí,75 i més,Home,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Nord,24.9,1119983,4964,278876
Malestar emocional,2023,No,75 i més,Home,Classe III,Estudis primaris i sense estudis,Àrea Metropolitana Nord,75.1,643753,1654,483459
Malestar emocional,2025,Sí,15 i més,Home,Classe III,Estudis secundaris,Lleida,23.3,1362467,4243,317455
Malestar emocional,2025,No,15 i més,Home,Classe III,Estudis secundaris,Lleida,76.7,513009,1413,393478
Malestar emocional,2024,Sí,0 - 14,Dona,Classe I,Estudis universitaris,Camp de Tarragona,33.6,1235191,3651,415024
Malestar emocional,2024,No,0 - 14,Dona,Classe I,Estudis universitaris,Camp de Tarragona,66.4,855329,4132,567938
Malestar emocional,2025,Sí,0 - 14,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,33.1,767044,2982,253892
Malestar emocional,2025,No,0 - 14,Home,Classe III,Estudis secundaris,Alt Pirineu i Aran,66.9,445959,1601,298347
Malestar emocional,2023,Sí,15 i més,Home,Classe III,Estudis universitaris,Lleida,25.6,666001,476,170496
Malestar emocional,2023,No,15 i més,Home,Classe III,Estudis universitaris,Lleida,74.4,1130142,1241,840826
Malestar emocional,2023,Sí,45 - 64,Dona,Classe I,Estudis primaris i sense estudis,Cat. Central,32.3,1251198,3086,404137
Malestar emocional,2023,No,45 - 64,Dona,Classe I,Estudis primaris i sense estudis,Cat. Central,67.7,241675,1182,163614
Malestar emocional,2024,Sí,45 - 64,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Nord,22.6,648247,1198,146504
Malestar emocional,2024,No,45 - 64,Dona,Classe III,Estudis universitaris,Àrea Metropolitana Nord,77.4,1261518,6097,976415
Malestar emocional,2025,Sí,65 i més,Dona,Classe II,Estudis universitaris,Cat. Central,19.5,1488662,7369,290289
Malestar emocional,2025,No,65 i més,Dona,Classe II,Estudis universitaris,Cat. Central,80.5,440654,2053,354726
Malestar emocional,2025,Sí,65 i més,Dona,Classe II,Estudis universitaris,Camp de Tarragona,33.3,291884,1426,97197
Malestar emocional,2025,No,65 i més,Dona,Classe II,Estudis universitaris,Camp de Tarragona,66.7,445686,1038,297273
Malestar emocional,2026,Sí,15 - 44,Home,Classe II,Estudis primaris i sense estudis,Lleida,21.5,756032,2253,162547
Malestar emocional,2026,No,15 - 44,Home,Classe II,Estudis primaris i sense estudis,Lleida,78.5,586022,332,460027
Malestar emocional,2023,Sí,65 - 74,Dona,Classe II,Estudis primaris i sense estudis,Girona,33.2,430949,1282,143075
Malestar emocional,2023,No,65 - 74,Dona,Classe II,Estudis primaris i sense estudis,Girona,66.8,1131070,1898,755555
Malestar emocional,2024,Sí,65 i més,Home,Classe II,Estudis universitaris,Girona,22.8,705816,1863,160926
Malestar emocional,2024,No,65 i més,Home,Classe II,Estudis universitaris,Girona,77.2,949199,3661,732782
Malestar emocional,2023,Sí,65 i més,Home,Classe III,Estudis secundaris,Cat. Central,33.4,1264749,3933,422426
Malestar emocional,2023,No,65 i més,Home,Classe III,Estudis secundaris,Cat. Central,66.6,1376031,5180,916437
Malestar emocional,2025,Sí,0 - 14,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,22.9,258569,830,59212
Malestar emocional,2025,No,0 - 14,Dona,Classe II,Estudis universitaris,Àrea Metropolitana Sud,77.1,1231299,1880,949332
